brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
78624.0,for_sale,448000.0,2.0,2.0,0.02,663759.0,Davis,California,95616.0,1120.0,2017-01-12
59831.0,for_sale,959000.0,5.0,3.0,0.16,966308.0,Davis,California,95616.0,2143.0,1992-06-25
81382.0,for_sale,653000.0,2.0,2.0,0.14,22304.0,Davis,California,95616.0,1431.0,
99325.0,for_sale,776889.0,3.0,3.0,0.14,471160.0,Davis,California,95616.0,1995.0,
81382.0,for_sale,1450000.0,3.0,2.0,7.04,689159.0,Davis,California,95616.0,1611.5,
59831.0,sold,490000.0,2.0,1.0,0.15,1019942.0,Davis,California,95616.0,857.0,2021-11-10
78624.0,sold,750000.0,3.0,2.0,0.07,1737971.0,Davis,California,95616.0,2075.0,2021-11-19
31168.0,sold,979000.0,4.0,3.0,0.18,707460.0,Davis,California,95616.0,2178.0,2021-11-23
22935.0,sold,699000.0,2.0,2.0,0.09,741132.0,Davis,California,95616.0,1124.0,2022-01-06
45117.0,sold,1350000.0,4.0,2.0,20.0,784838.0,Davis,California,95616.0,2288.0,2022-02-07
5918.0,sold,489000.0,2.0,2.0,0.02,953961.0,Davis,California,95616.0,1168.0,2022-02-24
31168.0,sold,1090000.0,5.0,2.0,0.22,1529856.0,Davis,California,95616.0,2499.0,2022-03-14
59831.0,sold,899000.0,4.0,2.0,0.19,993739.0,Davis,California,95616.0,1715.0,2022-03-24
78624.0,sold,2499000.0,4.0,4.0,5.0,844880.0,Davis,California,95616.0,4000.0,2022-04-05
78624.0,sold,798500.0,3.0,2.0,0.08,1734419.0,Davis,California,95616.0,2075.0,2022-04-05
78624.0,sold,568000.0,4.0,2.0,0.04,993378.0,Davis,California,95616.0,1568.0,2022-04-26
81382.0,sold,399900.0,1.0,1.0,0.04,946861.0,Davis,California,95616.0,712.0,2022-04-25
109982.0,sold,1000000.0,3.0,2.0,0.2,707482.0,Davis,California,95616.0,2044.0,2022-05-02
81361.0,sold,1075000.0,4.0,2.0,0.17,1017090.0,Davis,California,95616.0,2016.0,2022-05-05
59831.0,sold,899000.0,3.0,3.0,0.14,554939.0,Davis,California,95616.0,1858.0,2022-05-04
81382.0,sold,653000.0,2.0,2.0,0.14,22304.0,Davis,California,95616.0,1431.0,2022-05-03
43095.0,sold,895000.0,4.0,2.0,0.2,30345.0,Davis,California,95616.0,1912.0,2022-05-03
84853.0,sold,1125000.0,4.0,2.0,0.18,290670.0,Davis,California,95616.0,2119.0,2022-05-02
36244.0,sold,1090000.0,4.0,3.0,0.06,494660.0,Davis,California,95616.0,2141.0,2022-04-29
59839.0,sold,750000.0,3.0,3.0,0.08,746309.0,Davis,California,95616.0,1616.0,2022-04-27
81382.0,sold,605000.0,3.0,1.0,0.13,287997.0,Davis,California,95616.0,925.0,2022-04-25
22935.0,sold,1075000.0,4.0,2.0,0.19,1516092.0,Davis,California,95616.0,2187.0,2022-04-22
78624.0,sold,1298000.0,4.0,3.0,0.08,30859.0,Davis,California,95616.0,2635.0,2022-04-22
31168.0,sold,640000.0,3.0,2.0,0.07,629214.0,Davis,California,95616.0,1305.0,2022-04-21
59831.0,sold,1275000.0,3.0,3.0,0.22,1016072.0,Davis,California,95616.0,2613.0,2022-04-20
81361.0,sold,1649000.0,5.0,4.0,0.22,616459.0,Davis,California,95618.0,3879.0,2022-05-04
78624.0,sold,480000.0,2.0,2.0,0.07,1155065.0,Davis,California,95618.0,1154.0,2022-05-02
78624.0,sold,650000.0,3.0,2.0,0.1,1095466.0,Davis,California,95618.0,1155.0,2022-05-02
22935.0,sold,585000.0,2.0,2.0,0.09,659896.0,Davis,California,95618.0,1056.0,2022-05-02
59831.0,sold,199000.0,2.0,2.0,0.14,289317.0,Davis,California,95618.0,1056.0,2022-04-29
81382.0,sold,689000.0,3.0,3.0,0.06,1195135.0,Davis,California,95618.0,1479.0,2022-04-27
59831.0,sold,1120000.0,4.0,3.0,0.14,134931.0,Davis,California,95618.0,2220.0,2022-04-18
10710.0,sold,775000.0,3.0,3.0,0.05,1092450.0,Davis,California,95618.0,1794.0,2022-04-18
78624.0,sold,685000.0,3.0,2.0,0.1,128562.0,Davis,California,95618.0,1258.0,2022-04-15
81382.0,sold,899000.0,4.0,3.0,0.12,339206.0,Davis,California,95618.0,1739.0,2022-04-14
59841.0,sold,1030000.0,4.0,3.0,0.22,1357228.0,Davis,California,95618.0,1928.0,2022-04-11
59831.0,sold,925000.0,4.0,2.0,0.17,1222548.0,Davis,California,95618.0,1944.0,2022-04-11
78624.0,sold,373473.0,2.0,2.0,0.03,50745.0,Davis,California,95618.0,954.0,2022-04-08
42888.0,sold,615000.0,3.0,3.0,0.04,1008637.0,Davis,California,95618.0,1343.0,2022-04-07
59831.0,sold,329000.0,2.0,1.0,0.02,567931.0,Davis,California,95618.0,819.0,2021-12-22
109978.0,sold,745000.0,3.0,3.0,0.07,990162.0,Davis,California,95618.0,1783.0,2021-12-21
101855.0,sold,485000.0,2.0,1.0,0.09,738237.0,Davis,California,95618.0,946.0,2022-03-10
22935.0,sold,629000.0,1.0,1.0,0.14,1372956.0,Davis,California,95616.0,693.0,2021-12-17
109978.0,sold,788000.0,3.0,2.0,0.21,1771886.0,Davis,California,95616.0,1607.0,2021-11-08
81361.0,sold,798000.0,3.0,3.0,0.13,1098086.0,Davis,California,95618.0,1775.0,2021-11-08
22935.0,sold,559000.0,2.0,1.0,0.08,212433.0,Davis,California,95616.0,900.0,2021-11-10
22979.0,sold,699900.0,3.0,2.0,0.13,899698.0,Davis,California,95618.0,1501.0,2021-11-12
109982.0,sold,764000.0,3.0,3.0,0.14,471161.0,Davis,California,95616.0,1995.0,2021-11-15
59831.0,sold,680000.0,2.0,2.0,0.16,338925.0,Davis,California,95616.0,1582.0,2021-11-22
84534.0,sold,489000.0,2.0,1.0,0.12,937607.0,Davis,California,95616.0,882.0,2021-11-22
22935.0,sold,725000.0,5.0,2.0,0.09,752913.0,Davis,California,95616.0,1710.0,2021-11-22
59831.0,sold,895000.0,4.0,3.0,0.14,396797.0,Davis,California,95618.0,2186.0,2021-12-03
31168.0,sold,789000.0,4.0,2.0,0.18,534568.0,Davis,California,95618.0,1402.0,2021-12-08
78624.0,sold,639000.0,3.0,2.0,0.11,631523.0,Davis,California,95618.0,1294.0,2021-12-17
31168.0,sold,725000.0,3.0,2.0,0.19,407417.0,Davis,California,95618.0,1234.0,2021-12-17
109982.0,sold,769000.0,3.0,4.0,0.05,1329500.0,Davis,California,95618.0,2390.0,2021-12-17
71239.0,sold,713000.0,3.0,2.0,0.14,396190.0,Davis,California,95618.0,1234.0,2022-02-14
33968.0,sold,119800.0,3.0,2.0,0.14,1716660.0,Davis,California,95618.0,744.0,2022-02-16
78624.0,sold,1198000.0,5.0,4.0,0.07,577362.0,Davis,California,95616.0,2511.0,2022-02-16
59831.0,sold,1050000.0,4.0,2.0,0.23,1690536.0,Davis,California,95618.0,1848.0,2022-01-28
59831.0,sold,899000.0,3.0,3.0,0.22,1497778.0,Davis,California,95616.0,1975.0,2022-03-07
81361.0,sold,994900.0,4.0,2.0,0.2,877660.0,Davis,California,95618.0,2004.0,2022-03-10
100003.0,sold,1350000.0,4.0,3.0,0.13,766223.0,Davis,California,95616.0,2591.0,2022-03-16
81382.0,sold,895000.0,3.0,2.0,0.2,1771563.0,Davis,California,95616.0,1689.0,2022-03-21
59831.0,sold,1250000.0,4.0,2.0,0.21,518409.0,Davis,California,95618.0,2213.0,2022-03-23
109978.0,sold,777000.0,4.0,3.0,0.14,210572.0,Davis,California,95616.0,1626.0,2022-03-25
109982.0,sold,699125.0,3.0,2.0,0.19,809028.0,Davis,California,95618.0,1296.0,2022-03-25
99325.0,sold,782150.0,3.0,3.0,0.14,471164.0,Davis,California,95616.0,1995.0,2022-03-30
22935.0,sold,250000.0,3.0,2.0,0.14,381730.0,Davis,California,95618.0,1440.0,2022-03-30
78624.0,sold,888000.0,3.0,2.0,0.22,352500.0,Davis,California,95616.0,1435.0,2022-04-08
81382.0,sold,629000.0,2.0,2.0,0.03,1772791.0,Davis,California,95616.0,1456.0,2022-04-13
87820.0,sold,649950.0,3.0,2.0,0.09,623865.0,Davis,California,95616.0,1182.0,2022-03-11
78624.0,sold,969950.0,3.0,2.0,0.22,1676643.0,Davis,California,95616.0,1948.0,2021-11-15
22935.0,sold,245000.0,2.0,2.0,0.14,1072151.0,Davis,California,95618.0,1440.0,2021-11-15
81382.0,sold,499000.0,2.0,1.0,0.12,638610.0,Davis,California,95616.0,960.0,2021-11-17
31168.0,sold,700000.0,3.0,3.0,0.07,1022460.0,Davis,California,95618.0,1584.0,2021-11-19
22935.0,sold,835000.0,5.0,4.0,0.16,283297.0,Davis,California,95618.0,482.0,2021-11-19
59831.0,sold,599000.0,3.0,2.0,0.1,1176149.0,Davis,California,95618.0,1188.0,2021-11-19
42888.0,sold,600000.0,3.0,3.0,0.05,1047647.0,Davis,California,95618.0,1479.0,2021-11-23
13658.0,sold,1175000.0,6.0,3.0,0.15,636562.0,Davis,California,95618.0,2841.0,2021-11-29
59831.0,sold,575000.0,3.0,2.0,0.07,1508104.0,Davis,California,95616.0,1331.0,2021-11-29
59831.0,sold,749000.0,3.0,2.0,0.22,1674254.0,Davis,California,95616.0,1522.0,2021-11-29
92861.0,sold,1134900.0,5.0,4.0,0.11,471383.0,Davis,California,95616.0,3105.0,2021-12-02
59831.0,sold,675000.0,3.0,3.0,0.07,294941.0,Davis,California,95618.0,1480.0,2021-12-15
59831.0,sold,789000.0,3.0,2.0,0.19,1676715.0,Davis,California,95616.0,1273.0,2021-12-23
106180.0,sold,685000.0,3.0,3.0,0.07,1019530.0,Davis,California,95618.0,1584.0,2021-12-07
78624.0,sold,898000.0,3.0,3.0,0.08,718578.0,Davis,California,95616.0,1978.0,2022-01-31
29085.0,sold,379000.0,2.0,1.0,0.01,501648.0,Davis,California,95618.0,903.0,2022-02-10
22611.0,sold,1950000.0,5.0,4.0,80.0,1224718.0,Davis,California,95618.0,3220.0,2022-02-10
59831.0,sold,295000.0,3.0,2.0,0.14,719433.0,Davis,California,95618.0,1344.0,2022-02-18
26792.0,sold,749000.0,3.0,2.0,0.16,932099.0,Davis,California,95616.0,1868.0,2022-01-11
52915.0,sold,585000.0,3.0,3.0,0.07,580452.0,Davis,California,95618.0,1144.0,2022-02-24
22935.0,sold,695000.0,3.0,2.0,0.11,937574.0,Davis,California,95616.0,1360.0,2022-03-03
59831.0,sold,1099000.0,4.0,3.0,0.15,661503.0,Davis,California,95616.0,2359.0,2022-03-03
31168.0,sold,1080000.0,4.0,2.0,0.24,567066.0,Davis,California,95616.0,2444.0,2022-03-03
59831.0,sold,1499000.0,5.0,3.0,0.23,1318721.0,Davis,California,95616.0,3195.0,2022-03-03
31168.0,sold,689000.0,3.0,2.0,0.08,532372.0,Davis,California,95616.0,1194.0,2022-03-09
78624.0,sold,449000.0,2.0,2.0,0.02,651516.0,Davis,California,95616.0,1160.0,2022-03-09
78624.0,sold,1580000.0,5.0,4.0,0.23,1688803.0,Davis,California,95616.0,3589.0,2022-03-18
109978.0,sold,505000.0,2.0,2.0,0.06,1157993.0,Davis,California,95618.0,1154.0,2022-02-14
59831.0,sold,1299000.0,3.0,3.0,0.23,1701847.0,Davis,California,95616.0,2523.0,2022-02-14
22935.0,sold,1449000.0,4.0,5.0,0.1,579881.0,Davis,California,95616.0,3226.0,2022-03-23
59409.0,sold,380000.0,1.0,1.0,0.02,672201.0,Davis,California,95616.0,703.0,2022-03-23
81382.0,sold,1150000.0,5.0,3.0,0.22,1387602.0,Davis,California,95616.0,1995.0,2022-03-23
99325.0,sold,732990.0,3.0,3.0,0.14,471163.0,Davis,California,95616.0,1761.0,2022-03-29
81361.0,sold,1289000.0,4.0,4.0,0.19,1099245.0,Davis,California,95618.0,2791.0,2022-03-31
78624.0,sold,1100000.0,2.0,3.0,0.15,1207240.0,Davis,California,95616.0,1757.0,2022-03-31
24080.0,sold,824900.0,4.0,3.0,0.21,1234354.0,Davis,California,95618.0,2026.0,2022-04-01
22935.0,sold,775000.0,3.0,3.0,0.16,354264.0,Davis,California,95618.0,1296.0,2022-04-01
16829.0,sold,899000.0,4.0,2.0,0.18,285037.0,Davis,California,95616.0,1700.0,2022-04-15
81361.0,sold,1049900.0,3.0,3.0,0.15,1177180.0,Davis,California,95616.0,1852.0,2022-04-15
