price,bed,bath,acre_lot,house_size
575000.0,3.0,2.0,0.07,1331.0
749000.0,3.0,2.0,0.22,1522.0
1134900.0,5.0,4.0,0.11,3105.0
675000.0,3.0,3.0,0.07,1480.0
789000.0,3.0,2.0,0.19,1273.0
685000.0,3.0,3.0,0.07,1584.0
898000.0,3.0,3.0,0.08,1978.0
379000.0,2.0,1.0,0.01,903.0
1950000.0,5.0,4.0,80.0,3220.0
295000.0,3.0,2.0,0.14,1344.0
749000.0,3.0,2.0,0.16,1868.0
585000.0,3.0,3.0,0.07,1144.0
695000.0,3.0,2.0,0.11,1360.0
1099000.0,4.0,3.0,0.15,2359.0
1080000.0,4.0,2.0,0.24,2444.0
1499000.0,5.0,3.0,0.23,3195.0
689000.0,3.0,2.0,0.08,1194.0
449000.0,2.0,2.0,0.02,1160.0
1580000.0,5.0,4.0,0.23,3589.0
505000.0,2.0,2.0,0.06,1154.0
1299000.0,3.0,3.0,0.23,2523.0
1449000.0,4.0,5.0,0.1,3226.0
380000.0,1.0,1.0,0.02,703.0
1150000.0,5.0,3.0,0.22,1995.0
732990.0,3.0,3.0,0.14,1761.0
1289000.0,4.0,4.0,0.19,2791.0
1100000.0,2.0,3.0,0.15,1757.0
824900.0,4.0,3.0,0.21,2026.0
775000.0,3.0,3.0,0.16,1296.0
899000.0,4.0,2.0,0.18,1700.0
1049900.0,3.0,3.0,0.15,1852.0
870000.0,3.0,2.0,0.17,1860.0
439000.0,2.0,1.0,0.03,804.0
1275000.0,4.0,3.0,0.19,2748.0
949000.0,4.0,2.0,0.19,2125.0
599000.0,3.0,2.0,0.07,1060.0
795000.0,4.0,2.0,0.16,1775.0
1395000.0,3.0,3.0,0.26,2667.0
659900.0,3.0,3.0,0.06,1369.0
686000.0,3.0,2.0,0.12,1155.0
805000.0,3.0,2.0,0.18,1622.0
780000.0,4.0,2.0,0.14,1428.0
386214.0,3.0,3.0,0.03,1172.0
790000.0,4.0,3.0,0.06,1751.0
835000.0,2.0,1.0,0.13,1200.0
715000.0,3.0,3.0,0.07,1783.0
728000.0,3.0,3.0,0.07,1654.0
349000.0,2.0,1.0,0.01,903.0
1155000.0,4.0,3.0,0.21,2352.0
630000.0,2.0,2.0,0.09,1117.0
2500000.0,5.0,3.0,1.34,3682.0
718000.0,3.0,2.0,0.29,1390.0
819000.0,4.0,2.0,0.17,1606.0
705000.0,3.0,2.0,0.14,1541.0
709900.0,2.0,3.0,0.05,1576.0
1160000.0,4.0,3.0,0.21,2043.0
970000.0,4.0,3.0,0.06,2141.0
1199000.0,5.0,3.0,0.16,2913.0
619326.0,2.0,3.0,0.14,1299.0
1849000.0,4.0,4.0,0.31,3822.0
575000.0,3.0,2.0,0.14,1269.0
460000.0,2.0,2.0,0.1,1063.0
999000.0,4.0,3.0,0.17,2267.0
650000.0,4.0,2.0,0.1,1588.0
739900.0,4.0,2.0,0.15,1234.0
770000.0,4.0,2.0,0.15,1434.0
699000.0,3.0,2.0,0.12,1155.0
750000.0,3.0,2.0,0.17,1496.0
925000.0,4.0,3.0,0.15,2040.0
699000.0,3.0,2.0,0.18,1222.0
579900.0,2.0,1.0,0.09,1008.0
975000.0,4.0,2.0,0.24,1985.0
855000.0,3.0,2.0,0.08,1935.0
629000.0,3.0,2.0,0.08,1062.0
448000.0,2.0,2.0,0.02,1120.0
1465000.0,4.0,3.0,0.24,3521.0
895000.0,4.0,3.0,0.2,1648.0
1395000.0,4.0,3.0,0.23,3364.0
1195000.0,4.0,3.0,0.08,2489.0
830000.0,3.0,2.0,0.14,1830.0
469950.0,2.0,2.0,0.02,1160.0
510000.0,2.0,2.0,0.14,1191.0
715000.0,3.0,2.0,0.14,1471.0
928000.0,4.0,2.0,0.16,1924.0
689900.0,3.0,2.0,0.09,1235.0
1350000.0,4.0,3.0,0.18,2348.0
789000.0,3.0,2.0,0.14,1527.0
699000.0,3.0,2.0,0.14,1234.0
570000.0,3.0,2.0,0.25,1266.0
765000.0,3.0,2.0,0.15,1567.0
445000.0,2.0,2.0,0.02,1160.0
230000.0,3.0,2.0,0.14,1344.0
149800.0,3.0,2.0,0.14,1185.0
490000.0,2.0,2.0,0.04,1160.0
678500.0,2.0,3.0,0.05,1539.0
699000.0,3.0,2.0,0.18,1234.0
875000.0,3.0,2.0,0.23,1502.0
